,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
332,The Good Neighbor,Thriller,en,Forma Pro Films-Altit Media Group,105,94909,97,Released,2022,A nightmarish evening unfolds for David a former New York Times journalist when he and his strange new neighbor Robert accidentally hit a girl on her bike. Buzzed and disoriented David lets Robert convince him to flee the scene and leave the girl for dead in order to protect his career. Robert shows no remorse and in the name of friendship he does unspeakable things to protect the secret. Now that the police are full-on hunting for the hit-and-run killer things begin to spiral out of control when David’s local newspaper sends him to cover the story where he meets the deceased girl’s sister Vanessa. Despite the circumstances and her deep desire to find her sister’s killer the two immediately have a romantic connection which surprises and haunts David while pushing Robert to take brutal steps to keep his new friend to himself.,1,,
269,Dashcam,Horror-Thriller,en,Blumhouse Productions-Shadowhouse Films,100000,58156,80,Released,2022,At the start of the pandemic an indulgent and self-deluded livestreaming improv musician abandons L.A. for London steals her ex-bandmate's car and makes the fateful decision to give a ride to an elderly woman who is not what she seems.,1,48,34
476,On the Come Up,Drama-Music,en,State Street Pictures-Temple Hill Entertainment-Paramount Players,0,46000,115,Released,2022,Bri a young rapper and the daughter of an underground hip hop legend who died just before making it big. Her father’s legend makes him a hard act to follow but between Bri being bullied and watching her mother struggle after losing her job she pours out her frustration into songs that become big viral hits.,1,74,73
354,She Will,Thriller-Horror-Drama,en,Pressman Film-Filmgate Films-RocketScience-Popcorn Group-Intermission Film,0,40958,95,Released,2022,Veronica an aging film star retreats to the Scottish countryside with her nurse Desi to recover from  a double mastectomy. While there mysterious forces give Veronica the power to enact revenge within her dreams.,1,85,49
1383,Honeydew,Horror,en,Little Sky Film-Rubber Road Productions-Bloody Disgusting,0,32890,106,Released,2021,Strange cravings and hallucinations befall a young couple after seeking shelter in the home of an aging farmer and her peculiar son.,1,65,38
343,To Leslie,Drama,en,BCDF Pictures-Shaken Not Stirred Productions-Baral Waley Productions-Bluewater Lane Productions,0,27322,119,Released,2022,A West Texas single mother wins the lottery and squanders it just as fast leaving behind a world of heartbreak. Years later with her charm running out and nowhere to go she fights to rebuild her life and find redemption.,1,93,86
587,I'm Alien Green Alien: I will dance for you,Science Fiction-Animation-Adventure-Action-Comedy,en,Özgür Dogruöz Film,25000000,0,80,Released,2022,A lonely cute alien traveling through space is forced to land on Earth when the spacecraft malfunctions and by chance. The very friendly and dancing-loving alien takes up her sleeves to explore the planet find friends and her funny and fun adventure begins.,1,,
403,Tall Girl 2,Comedy-Romance,en,Wonderland Sound and Vision,24393503,0,97,Released,2022,"After Jodi Kreyman gains popularity her miscommunications start causing rifts with those around her and now she really needs to ""stand tall"".",1,63,29
336,Lullaby,Horror,en,Alcon Entertainment-Envision Media Arts-Wonderfilm Media-Heroes and Villains Entertainment,20000000,0,89,Released,2022,A new mother discovers a lullaby in an ancient book and soon regards the song as a blessing. But her world transforms into a nightmare when the lullaby brings forth the ancient demon Lilith.,1,100,74
567,Anything's Possible,Romance-Comedy-Drama,en,Metro-Goldwyn-Mayer-Orion Pictures-Killer Films-Andrew Lauren Productions-Amazon Studios,10000000,0,96,Released,2022,Anything’s Possible is a delightfully modern Gen Z coming-of-age story that follows Kelsa a confident high school girl who is trans as she navigates through senior year. When her classmate Khal gets a crush on her he musters up the courage to ask her out despite the drama he knows it could cause. What transpires is a romance that showcases the joy tenderness and pain of young love.,1,86,57
382,Mad Heidi,Action-Adventure-Comedy-Fantasy-Horror,en,A Film Company-Swissploitation Films,2600000,0,92,Released,2022,In a dystopian Switzerland that has fallen under the fascist rule of an evil cheese tyrant Heidi lives the pure and simple life in the Swiss Alps. Grandfather Alpöhi does his best to protect Heidi but her yearning for freedom soon gets her into trouble with the dictator’s henchmen. The innocent girl transforms herself into a kick-ass female fighting force who sets out to liberate the country from the insane cheese fascists.,1,100,94
638,Deserted,Drama-Romance,en,Meteoriit-Greenlit Productions,1253000,0,92,Released,2022,Ingrid an intelligent and beautiful 40-year old Western photojournalist visits Sinai to finalise her photoshoot for her upcoming exhibition. She is kidnapped by terrorists and falls in love with one of the men.,1,,25
469,Marvelous and the Black Hole,Comedy-Drama,en,FilmRise-Tribeca Film Institute-Maomao Productions,1000000,0,81,Released,2022,A teenage delinquent befriends a surly magician who helps her navigate her inner demons and dysfunctional family with sleight of hand magic.,1,86,65
851,Lord of the Streets,Action,en,Mutiny Films,1000000,0,85,Released,2022,When Jason Dyson refuses to make his prized fighter throw an MMA match a notorious gangster collects his debt by killing the fighter and kidnapping Jason's daughter. Now he must train a prisoner to endure five consecutive underground fights to save her.,1,,
637,Balloon Animal,Drama,en,First Bloom Films,650000,0,88,Released,2022,Poppy Valentine a young circus performer who has grown up in her family's traveling circus has never dreamed of what life would be like outside of its fences. However now in her mid-20s and with more unwelcomed responsibility weighing her down she's desperate to figure out if this life is for her. As she slowly begins to take time for herself finding independence and even love she strains her relationship with those around her in the tight-knit circus community. In the end amidst her overprotective father stressful circus expectations and her blossoming curiosity for a life of her own she must find a way to be happy.,1,,
612,Fragile Heart,Drama-Romance-Fantasy,en,Kappa Studios-Snakebyte Productions and Entertainment Group-Last Chance Productions,500000,0,168,Released,2022,Danny’s a drifter with a grudge and a slightly twisted Robin Hood complex. Savannah struggles with self-image and has lost nearly everything that ever mattered to her. These two were meant to meet like Bonnie and Clyde or a crate of sweating dynamite and a pothole. With nothing to lose and an impulsive relationship that fuels the fire these two are destined to a life sentence of celebrity they never saw coming.,1,,
1471,A Stalker in the House,Thriller,en,Uncork'd Entertainment-TrapDark,400000,0,84,Released,2021,Jen is single and looking to find her match with online dating. She connects with Mike who appears handsome and charming. But some things are too good to be true and all is not what it seems. When he becomes aggressive Jen pushes away and tries to avoid him however Mike has other ideas.,1,,14
299,Blank,Science Fiction-Drama-Thriller,en,Templeheart Films,275650,0,95,Released,2022,A desperate writer signs up for a fully A.I. operated retreat to cure her writer's block but when an unforeseen software glitch occurs she gets trapped inside her unit with an unstable android and no communication with the outside world.,1,,
144,Endangered,Thriller-Crime,en,REBL HQ,250000,0,86,Released,2022,Alison a down-on-her-luck young professional spends her evenings trying to make ends meet as a rideshare driver. Wrapping her shift she decides to take on one last passenger — only to find herself in unexpected danger when she discovers the mysterious stranger is not what he appears to be. Through a twisted turn of events Alison must turn to her enigmatic passenger for help and is now stuck with him. In over her head Alison must fight to get through the night covering her tracks avoiding the police and discovering who her inscrutable passenger truly is.,1,,20
1290,Backyard Village,Comedy-Drama,en,Tenderlee Motion Pictures Company,220000,0,92,Released,2021,Unable to face the mother who left her at a young age BRYNJA (40) takes shelter in a small guesthouse in a village outside Reykjavik. There she befriends MARK (50) a British tourist who's dealing with his own personal tragedy.,1,,
1187,Disfluency,Drama,en,Vanishing Angle,200000,0,100,Released,2021,After failing her final college class Jane returns home to her family's lake house coming to terms with the trauma that derailed her senior year.,1,,
642,Tahara,Drama-Comedy,en,Film Movement,120000,0,78,Released,2022,"Carrie Lowstein and Hannah Rosen have been inseparable for as long as they can remember. When their former Hebrew school classmate Samantha Goldstein commits suicide the two girls go to her funeral as well as the ""Teen Talk-back"" session designed to be an opportunity for them to understand grief through their faith. But after an innocent kissing exercise turns Carrie's world inside out the best friends find themselves distracted by the teenage complications of lust social status and wavering faith.",1,97,50
1168,Los Angeles,Drama,en,Donkey Monkey Production,100000,0,82,Released,2021,"""Los Angeles"" is the story of Jojo a young mute who thinks she hears God calling her to save the Baby Jesus. She packs five angels in a shoe shine kit and takes a one-way trip to Tampa Florida where she is picked up by Cash an escaped convict. The two hit the road with the FBI on their tail. At different cities along the way Jojo opens her shine kit and the angels perform. Will Cash get to freedom? Will Jojo save the Baby Jesus? God only knows.",1,,
203,The Movie,Comedy-Horror-Thriller-Drama,en,Dr. Snaxxx,85000,0,85,Released,2022,A creepy director uses a movie shoot to torture his favorite actress in her own home.,1,,
1227,Outlier,Horror-Thriller-Science Fiction-Drama,en,Strayer Pictures,50000,0,81,Released,2021,After a public scene was caused by her abusive boyfriend James Olivia Davis flees the relationship with the help of a kind stranger Thomas. Fearing for her safety from James Olivia stays with Thomas for a while. Meanwhile Thomas is working on a mystery project that Olivia only gets glimpses of. Not trusting herself and being eaten up by past trauma she decides it's time to leave. Fearing for her safety out there on her own Thomas is forced to confront and take action to keep Olivia safe. She is now forced to take action find out what is going on and escape her trauma.,1,,
697,2.0 Lucy,Fantasy-Drama-Science Fiction,en,Shopfloor Films,45000,0,94,Released,2022,Dr Michael O'Brien is a celebrated palaeoanthropologist but his recently-published book has drawn ridicule from academics while being hailed by crazy conspiracy theorists. With his party-animal sister Alyssa and her latest boyfriend Dante he retreats to a rural outback where he obsessively pursues the unorthodox research that led his colleagues to shun him. Here he makes a mind-blowing discovery that may rescue his career. Trapped in isolation four flawed characters grapple with their awesome responsibilities and the delusional idea that we humans are the master species.,1,,
893,Bae Wolf,Fantasy,en,Defiant Productions-DRAX Films,37000,0,87,Released,2022,In the year 500 A.D. a jealous decapitating monster terrorizes the drunken revelers of Heorot. A fearless princess goes in search of a hero who can save her people. But that hero guards a secret more dangerous than any monster.,1,,
611,Sophie and the Serial Killers,Music-Horror-Comedy,en,Magical Hammer Productions,25000,0,158,Released,2022,Sophie a young psychology major finds herself kidnapped and thrown in a crazy wild battle royale game filled with musical serial killers each of who have their own reason for killing. Now Sophie must do her best to survive the game and avoid being killed.,1,,
614,The Zand Order,Horror-Mystery,en,FireDrive Films,23000,0,71,Released,2022,A grieving mother hires a filmmaker and a tracker to help document her search in the Florida wilderness as she hunts a cult she believes murdered her daughter.,1,,
586,The White Goddess,Horror-Drama-Fantasy-Thriller,en,Indie Rights,20000,0,72,Released,2022,An injured Andrew ends up drawn into the complicated world of Rebecca a solitary writer whose obsession with a divine mythological character has taken over her life.,1,,
670,Anglerfish,Horror-Western,en,Third-Self Productions,20000,0,60,Released,2022,It's 1906. Under the dark sky of an Apocalypse a young couple's nightly rituals are disrupted by a mysterious woman burying her husband by the stream.,1,,
1143,Don't Give Up,Drama,en,JC Films,20000,0,56,Released,2021,Amy was suffering from debilitating depression until God healed her and helped her reshape her life into something amazing. In DON'T GIVE UP she tells the story of her meeting with Jesus and how it opened her eyes to the gifts around her.,1,,
651,Fading Petals,Drama,en,Crazy Goose Productions,11000,0,93,Released,2022,The paths of two solitary figures cross when a Young Woman (Charlotte Reidie) arrives to aid a sickly Old Woman (Melanie Revill). After a hostile first encounter and despite misgivings from both the two slowly open up to one another. But their affinity is short lived when events culminate as unforgiving words are spoken and buried memories resurface. The Old Woman struggles to accept the absence of the Young Woman and is haunted by her memory. A series of truths manifest themselves as the pair learn that they are much more alike than they think.,1,80,100
1015,A Christmas Dream,Comedy-Family-Romance,en,MADS,10000,0,65,Released,2021,A Christmas Dream tells the story of a local teenage girl who has had ambitions to go to a musical theatre school in London since she was eight years old. She is now 18 but her parents who are both solicitors want her and her twin brother to go to university and study law.  The film shows the support she gets from her friends boyfriend and her singing and dance teacher. They encourage her to follow her dream and go for it and have no regrets in later life.,1,,
859,"Almost, Sorta, Maybe",Comedy,en,IX Film Productions,9000,0,106,Released,2022,Almost Sorta Maybe is a feel-good comedy that follows Liz our almost-30 panicking protagonist as she struggles to find the courage to quit her soul-sucking job and pursue her dreams.,1,,
1011,The Lonesome Room,Thriller-Mystery,en,Drinking With Skeletons Films,5880,0,72,Released,2021,A fairly prolific young writer struggling for her next story is drugged and wakes up tied to a chair in a room ripped right out of one of her more horrifying books with no foreseeable way out.,1,,
355,Reportage November,Horror-Mystery,en,NPE Productions-Spying Moth Entertainment,5500,0,86,Released,2022,A mysterious death of a mother and the disappearance of her child leads a group of freelance journalists to the outback of Sweden. The group of four led by the famous journalist Linn Söderqvist will make a reportage about the happening and try to find something the police missed. Equipped with cameras and supplies to survive in the forest for days they wander out in the woods to find the truth.,1,,
1086,Noxious 2: Cold Case,Thriller,en,Vinark Motion Pictures,5500,0,85,Released,2021,Years after the events of Noxious our protagonist is on the run and her past is catching up with her.,1,,
1021,Afraid of the Dark,Drama-Horror-Thriller,en,Ghost Train Films,5000,0,71,Released,2021,Afraid of the Dark is a psychological horror film that follows the story of 16-year-old Hannah Fox a student who uncovers a dark secret that will indefinitely change the course of her life.,1,20,33
1102,Flesh Eater X,Horror,en,A Baroque House-Severed Cinema,5000,0,75,Released,2021,A photographer uses a new project to lure talent and unsuspecting strangers in to fulfill her darkest fantasies.,1,,
1287,The Awakening of Lilith,Drama-Horror,en,Refuge Films,3000,0,83,Released,2021,A woman finds herself in the midst of a dark mystery after the unexplained loss of a loved one. Her mind begins to unravel as her sense of reality begins to slip away.,1,,
1216,Jill!,Comedy,en,Jacob Boatsman Films,2600,0,108,Released,2021,Jill has just finished her first year of college and is home for the summer. While keeping old friendships and creating new ones she finds that there are certain attributes to her family she wants to shy away from.,1,,
590,Hate Little Rabbit,Horror-Thriller,en,White Raven Productions,2500,0,76,Released,2022,After the death of her adopted parents Lacy Graham tries to build a relationship with her birth mother Samantha but this is made difficult by Samantha's struggle with mental health. Just as they start to bond the unthinkable happens and Samantha is kidnapped! Who can she trust? A strange ex-copper her weird friends or has a distant relative set his sights on revenge for her father's actions?,1,,
654,Yelling Fire In An Empty Theater,Comedy-Romance,en,5th Floor,2500,0,72,Released,2022,In this MiniDV curio a young woman moves to New York and becomes entangled in her roommates’ tumultuous relationship.,1,,
762,A Cold Wind To... Blow The House Down,Drama-Romance-Comedy,en,Geminus Studios-SquashHouse Attempts-512RED,1500,0,65,Released,2022,With their relationship on the rocks David and Emily move to Halifax to catch a break from the pandemic and their monotonous routine. Upon meeting Emily's best friend Delilah and her local friend Meg the already shaky groundwork of their relationship starts to fracture.,1,,
760,Fatherland,Drama,en,Slaney Studios,200,0,106,Released,2022,After Carina walks away from her family Thomas and their daughter Leah are left to pick up the pieces. Bit by bit Thomas's life falls down around him and he must fight tirelessly to keep it all together.,1,50,52
490,My Love Affair with Marriage,Animation-Drama,en,Locomotive Productions-Cinco Dedos Peliculas-THE MARRIAGE PROJECT-ANTEVITA FILMS,132,0,108,Released,2022,From an early age songs and fairytales convinced Zelma that Love would solve all her problems as long as she abided by societal expectations of how a girl should act. But as she grew older something didn't seem right with the concept of love: the more she tried to conform the more her body resisted. A story about the acceptance of the inner female rebellion.,1,79,
1083,West Michigan,Drama,en,Two Other Trees,100,0,76,Released,2021,Hannah is a seventeen-year-old girl who struggles to find her place in the world. Around the time that she gives up all hope of fitting in her grandfather falls ill. She and her brother Charlie drive up the coast of West Michigan in order to visit him on his deathbed. However their journey north takes a turn after their car breaks down in rural Michigan and Hannah's search for meaning grows more crucial than ever.,1,94,73
3,Paradise Highway,Thriller-Crime-Drama,en,Grindstone Entertainment Group-ZDF-Silver Reel,0,0,115,Released,2022,A truck driver has been forced to smuggle illicit cargo to save her brother from a deadly prison gang. With FBI operatives hot on her trail Sally's conscience is challenged when the final package turns out to be a teenage girl.,1,17,70
4,Superior,Drama-Thriller,en,Sunshine Sachs,0,0,97,Released,2022,On the run Marian returns to her hometown in upstate New York to hide out with her estranged identical twin sister Vivian. Struggling to put the past behind her Marian lies about the reason for her return leaving her sister in the dark until their two worlds begin to collide.,1,,
5,Road Trip Romance,TV Movie-Comedy-Romance,en,Johnson Production Group,0,0,84,Released,2022,An escalating series of unfortunate events keeps delaying a young woman’s journey to her sister’s wedding – a journey she is forced to take with the guy who was her biggest rival in high school.,1,,40
7,Fresh,Horror-Thriller-Comedy,en,Legendary Pictures-Hyperobject Industries,0,0,114,Released,2022,Frustrated by scrolling dating apps only to end up on lame tedious dates Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.,1,88,91
9,Tyler Perry's A Madea Homecoming,Comedy,en,Tyler Perry Studios,0,0,105,Released,2022,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,1,,
15,Last Seen Alive,Action-Thriller,en,Voltage Pictures,0,0,95,Released,2022,After Will Spann's wife suddenly vanishes at a gas station his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.,1,13,39
23,My Best Friend's Exorcism,Horror-Comedy,en,Gotham Group-Endeavor Content-Quirk Productions,0,0,96,Released,2022,The year is 1988. Abby and Gretchen have been best friends since fourth grade. After an evening of skinny-dipping goes disastrously wrong Gretchen begins to act…different which leads Abby to suspect her best friend may be possessed by a demon. With help from some unlikely allies Abby embarks on a quest to save Gretchen. But is their friendship powerful enough to beat the devil?,1,,
27,Mia and Me: The Hero of Centopia,Animation-Fantasy-Adventure,en,Constantin Film-Studio 100-Studio 100 Media-Studio B Animation,0,0,82,Released,2022,Mia discovers her magic stone is part of an ancient prophecy and embarks on a thrilling journey to the farthest islands of Centopia to face a great evil and shape her own destiny.,1,,
28,Christmas with You,Romance-Comedy,en,GMT Films,0,0,91,Released,2022,Feeling career burnout pop star Angelina escapes to grant a young fan's wish in small-town New York where she not only finds the inspiration to revitalize her career but also a shot at true love.,1,65,60
34,Catherine Called Birdy,Adventure-Comedy,en,Working Title Films-Amazon Studios-Good Thing Going Productions,0,0,108,Released,2022,A teenage girl in Medieval England navigates life and tries to avoid the arranged marriages her father maps out for her.,1,88,62
37,No Exit,Horror-Thriller-Mystery,en,Flitcraft-20th Century Studios,0,0,96,Released,2022,Stranded at a rest stop in the mountains during a blizzard a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.,1,,50
42,Deep Water,Drama-Mystery-Thriller,en,Film Rites-New Regency Pictures-Keep Your Head Productions-Entertainment 360,0,0,116,Released,2022,Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby in order to avoid the messiness of divorce Melinda is allowed to take any number of lovers as long as she does not desert her family.,1,,
45,The Visitor,Horror-Mystery-Thriller,en,Epix-Blumhouse Television-Divide / Conquer-Bradley Pilz Productions,0,0,86,Released,2022,After a series of tragedies including the death of his father-in-law Robert and his wife Maia leave their home in London to move back to her childhood home. But when Robert discovers an old portrait in the attic of a man who is his spitting image he goes down a rabbit hole to discover the identity of this mysterious doppelganger known only as the visitor. It isn’t long until he realizes – where the visitor goes death follows.,1,,
49,Give Me Pity!,Music-Thriller-Comedy,en,Smudge Films-Irving Harvey-Neon Heart Productions,0,0,80,Released,2022,Sissy St. Claire graces the small screen for her first ever television special an evening full of music and laughter glamour and entertainment! But Sissy's live event quickly begins to curdle into a psychedelic nightmare of vanity insecurity and delusional ambition provoked by the glowering presence of a mysterious masked man.,1,,
54,Love Knots,TV Movie-Comedy-Romance,en,Incendo Media-Incendo Productions-Screentime,0,0,90,Released,2022,Jodie Carpenter is the owner of 'The Loft' her family's sail-making company located near quaint Redmond's Bay Marina. When luxury developer Charles Prescott purchases the port looking to carry out a lavish expansion Jodie fears that her business and heritage will be torn down and replaced.,1,,
64,The Princess,Fantasy-Action,en,Original Film-20th Century Studios,0,0,94,Released,2022,A beautiful strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned vindictive suitor intent on taking her father’s throne the princess must protect her family and save the kingdom.,1,,
66,Monster High: The Movie,Family-Fantasy-Comedy-Adventure-Music-TV Movie,en,Brightlight Pictures-Nickelodeon Productions-Lighthouse Pictures-Mattel Television,0,0,91,Released,2022,Clawdeen Wolf half human and half werewolf has recently started attending Monster High a school for monsters in all forms. After quickly befriending her classmates Frankie Stein and Draculaura Clawdeen feels like she has finally found a place where she can truly be herself or so she thinks. Soon a devious plan to destroy Monster High threatens to reveal her real identity and Clawdeen must learn to embrace her true monster heart before it's too late.,1,,
67,The Valet,Comedy-Romance,en,Lionsgate-3Pas Studios,0,0,124,Released,2022,World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.,1,70,68
73,Crush,Comedy-Romance,en,3 Arts Entertainment-Depth of Field-LD Entertainment-American High-Animal Pictures,0,0,92,Released,2022,When an aspiring young artist is forced to join her high school track team she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.,1,36,58
74,Last Man Down,Action-Thriller,en,Daniel Stisen Productions-Fansu Film,0,0,87,Released,2022,After civilization succumbs to a deadly pandemic and his wife is murdered a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone the man that murdered his wife some years ago.,1,,67
76,The Munsters,Comedy-Fantasy,en,Universal 1440 Entertainment-Spookshow International,0,0,110,Released,2022,Lily is a typical 150-year-old lovelorn vampire who's looking for the man of her nightmares -- until she lays her eyes on Herman a 7-foot-tall green experiment with a heart of gold. It's love at first shock as these two ghouls fall fangs over feet for each other in a Transylvanian romance. Unfortunately it's not all smooth sailing in the cemetery as Lily's father has other plans for his beloved daughter's future and they don't involve her new bumbling beau.,1,52,36
79,Mack & Rita,Comedy-Fantasy,en,Rhea Films-CaliWood Pictures-Hercules Film Fund-Page Fifty-Four Pictures,0,0,95,Released,2022,A 30-year-old spends a wild weekend in Palm Springs and wakes up to find she has magically transformed into her 70-year-old self.,1,,
80,Resurrection,Thriller-Mystery-Horror-Drama,en,Secret Engine-Square Peg-Tango Entertainment-Rosetory,0,0,103,Released,2022,A woman’s carefully constructed life is upended when an unwelcome shadow from her past returns forcing her to confront the monster she’s evaded for two decades.,1,,
81,Topside,Drama,en,Likely Story-Red Crown Productions-K Period Media-ELO films-Level Forward,0,0,85,Released,2022,Deep in the underbelly of New York City a five year-old girl and her mother live among a community that has claimed the abandoned subway tunnels as their home. After a sudden police-mandated eviction the pair are forced to flee aboveground into a brutal winter night. Determined to return home they fight to find shelter as their world is thrown into chaos.,1,81,79
82,Borrego,Crime-Thriller,en,Saban Films-Tucci & Company-CRE84U-Black Magic-ABCDE Pictures,0,0,102,Released,2022,A young botanist relocates to a small desert town to study an invasive plant species. While out on research she comes to the aid of a downed plane only to find herself taken captive by an inexperienced drug mule who forces her to lead a trek across the sweltering desert to his drop. A local sheriff is drawn into the hunt as his rebellious daughter sets out to find the missing botanist all the while being pursued by a local drug receiver.,1,27,
83,"Goodbye, Petrushka",Comedy-Romance-Drama,en,Cufflink Productions-Parsley Productions-Baum18 Media-Irrational Productions,0,0,97,Released,2022,Claire moves impulsively from NYC to Paris where she nannies for the family from hell battles wacky French bureaucrats embarrasses herself in front of her Parisian crush and navigates a toxic relationship - among other faux pas.,1,,
87,Under Wraps 2,Family-Comedy-Fantasy-TV Movie,en,Brightlight Pictures-MarVista Entertainment,0,0,83,Released,2022,As Marshall Gilbert and Amy are preparing for her father’s Spooktacular Halloween-themed wedding to his fiancé Carl plans go awry when they discover that their mummy friend Harold and his beloved Rose may be in danger.,1,,46
88,Sex Appeal,Comedy-Romance,en,LD Entertainment-Nickel City Pictures-American High-Lit Entertainment Group,0,0,90,Released,2022,Avery a teenager with a tendency towards perfectionism enlists her friend Larson to help her prepare for her first time with her long-distance boyfriend.,1,,12
89,Homebound,Horror-Drama-Mystery,en,BBC Film-BFI-BFI Film Fund-Microwave Films-Sharp House-East Green Films-SUMS Film and Media,0,0,71,Released,2022,A young woman arrives at the home of her new husband's estranged family to find the children behaving in increasingly unnerving ways.,1,,
90,Senior Year,Comedy,en,Broken Road Productions-Paramount Players,0,0,112,Released,2022,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,1,23,46
93,The Unkind,Horror,en,Visionfilm-Dark Reign Entertainment-Hecat Studio-Marvelous Pictures,0,0,105,Released,2022,Six friends from New York City vacationing at a historic mansion in Europe release an ancient witch from her slumber awakening her centuries old thirst for blood turning their trip into a fight for survival.,1,,
